symbol,name,full_name,name_and_type
SAIA,saia,"Saia, Inc.","Saia, Inc. - Common Stock"
SAJA,sajan,"Sajan, Inc.","Sajan, Inc. - Common Stock"
SAL,salisbury bancorp,"Salisbury Bancorp, Inc.","Salisbury Bancorp, Inc. - Common Stock"
SALE,retailmenot,"RetailMeNot, Inc.","RetailMeNot, Inc. - Series 1 Common Stock"
SALM,salem communications,Salem Communications Corporation,Salem Communications Corporation - Class A Common Stock
SAMG,silvercrest asset management group,Silvercrest Asset Management Group Inc.,Silvercrest Asset Management Group Inc. - Common Stock
SANM,sanmina,Sanmina Corporation,Sanmina Corporation - Common Stock
SANW,s&w seed,S&W Seed Company,S&W Seed Company - Common Stock
SANWZ,s&w seed,S&W Seed Company,S&W Seed Company - Warrants Class B 04/23/2015
SAPE,sapient,Sapient Corporation,Sapient Corporation - Common Stock
SASR,sandy spring bancorp,"Sandy Spring Bancorp, Inc.","Sandy Spring Bancorp, Inc. - Common Stock"
SATS,echostar,EchoStar Corporation,EchoStar Corporation - common stock
SAVE,spirit airlines,"Spirit Airlines, Inc.","Spirit Airlines, Inc. - Common Stock"
SBAC,sba communications,SBA Communications Corporation,SBA Communications Corporation - Common Stock
SBBX,sussex bancorp,Sussex Bancorp,Sussex Bancorp - Common Stock
SBCF,seacoast banking corporation of florida,Seacoast Banking Corporation of Florida,Seacoast Banking Corporation of Florida - Common Stock
SBCP,sunshine bancorp,"Sunshine Bancorp, Inc.","Sunshine Bancorp, Inc. - Common Stock"
SBFG,sb financial group,"SB Financial Group, Inc.","SB Financial Group, Inc. - Common Stock"
SBGI,sinclair broadcast group,"Sinclair Broadcast Group, Inc.","Sinclair Broadcast Group, Inc. - Class A Common Stock"
SBLK,star bulk carriers,Star Bulk Carriers Corp.,Star Bulk Carriers Corp. - Common Stock
SBLKL,star bulk carriers,Star Bulk Carriers Corp.,Star Bulk Carriers Corp. - 8.00% Senior Notes Due 2019
SBNY,signature bank,Signature Bank,Signature Bank - Common Stock
SBNYW,signature bank,Signature Bank,Signature Bank - Warrants 12/12/2018
SBRA,sabra healthcare reit,"Sabra Healthcare REIT, Inc.","Sabra Healthcare REIT, Inc. - Common Stock"
SBRAP,sabra healthcare reit,"Sabra Healthcare REIT, Inc.","Sabra Healthcare REIT, Inc. - 7.125% Preferred Series A (United States)"
SBSA,spanish broadcasting system,"Spanish Broadcasting System, Inc.","Spanish Broadcasting System, Inc. - Class A Common Stock"
SBSI,southside bancshares,"Southside Bancshares, Inc.","Southside Bancshares, Inc. - Common Stock"
SBUX,starbucks,Starbucks Corporation,Starbucks Corporation - Common Stock
SCAI,surgical care affiliates,"Surgical Care Affiliates, Inc.","Surgical Care Affiliates, Inc. - Common Stock"
SCHL,scholastic,Scholastic Corporation,Scholastic Corporation - Common Stock
SCHN,schnitzer steel industries,"Schnitzer Steel Industries, Inc.","Schnitzer Steel Industries, Inc. - Class A Common Stock"
SCLN,sciclone pharmaceuticals,"SciClone Pharmaceuticals, Inc.","SciClone Pharmaceuticals, Inc. - Common Stock"
SCMP,sucampo pharmaceuticals,"Sucampo Pharmaceuticals, Inc.","Sucampo Pharmaceuticals, Inc. - Class A Common Stock"
SCOK,sinocoking coal and coke chemical industries,"SinoCoking Coal and Coke Chemical Industries, Inc","SinoCoking Coal and Coke Chemical Industries, Inc - Common Stock"
SCON,superconductor technologies,Superconductor Technologies Inc.,Superconductor Technologies Inc. - Common Stock
SCOR,comscore,"comScore, Inc.","comScore, Inc. - Common Stock"
SCSC,scansource,"ScanSource, Inc.","ScanSource, Inc. - Common Stock"
SCSS,select comfort,Select Comfort Corporation,Select Comfort Corporation - Common Stock
SCTY,solarcity,SolarCity Corporation,SolarCity Corporation - Common Stock
SCVL,shoe carnival,"Shoe Carnival, Inc.","Shoe Carnival, Inc. - Common Stock"
SCYX,scynexis,"SCYNEXIS, Inc.","SCYNEXIS, Inc. - Common Stock"
SEAC,seachange international,"SeaChange International, Inc.","SeaChange International, Inc. - Common Stock"
SEED,origin agritech,Origin Agritech Limited,Origin Agritech Limited - Common Stock
SEIC,sei investments,SEI Investments Company,SEI Investments Company - Common Stock
SEMI,sunedison semiconductor,SunEdison Semiconductor Limited,SunEdison Semiconductor Limited - Ordinary Shares
SENEA,seneca foods,Seneca Foods Corp.,Seneca Foods Corp. - Class A Common Stock
SENEB,seneca foods,Seneca Foods Corp.,Seneca Foods Corp. - Class B Common Stock
SEV,sevcon,"Sevcon, Inc.","Sevcon, Inc. - Common Stock"
SFBC,sound financial bancorp,"Sound Financial Bancorp, Inc.","Sound Financial Bancorp, Inc. - Common Stock"
SFBS,servisfirst bancshares,"ServisFirst Bancshares, Inc.","ServisFirst Bancshares, Inc. - Common Stock"
SFLY,shutterfly,"Shutterfly, Inc.","Shutterfly, Inc. - Common Stock"
SFM,sprouts farmers market,"Sprouts Farmers Market, Inc.","Sprouts Farmers Market, Inc. - Common Stock"
SFNC,simmons first national,Simmons First National Corporation,Simmons First National Corporation - Common Stock
SFST,southern first bancshares,"Southern First Bancshares, Inc.","Southern First Bancshares, Inc. - Common Stock"
SFXE,sfx entertainment,"SFX Entertainment, Inc.","SFX Entertainment, Inc. - Common Stock"
SGBK,stonegate bank,Stonegate Bank,Stonegate Bank - Common Stock
SGC,superior uniform group,"Superior Uniform Group, Inc.","Superior Uniform Group, Inc. - Common Stock"
SGEN,seattle genetics,"Seattle Genetics, Inc.","Seattle Genetics, Inc. - Common Stock"
SGI,silicon graphics international,Silicon Graphics International Corp,Silicon Graphics International Corp - Common Stock
SGMA,sigmatron international,"SigmaTron International, Inc.","SigmaTron International, Inc. - Common Stock"
SGMO,sangamo biosciences,"Sangamo BioSciences, Inc.","Sangamo BioSciences, Inc. - Common Stock"
SGMS,scientific games,Scientific Games Corp,Scientific Games Corp - Class A Common Stock
SGNL,signal genetics,"Signal Genetics, Inc.","Signal Genetics, Inc. - Common Stock"
SGNT,sagent pharmaceuticals,"Sagent Pharmaceuticals, Inc.","Sagent Pharmaceuticals, Inc. - Common Stock"
SGOC,sgoco group,"SGOCO Group, Ltd","SGOCO Group, Ltd - Ordinary Shares (Cayman Islands)"
SGRP,spar group,"SPAR Group, Inc.","SPAR Group, Inc. - Common Stock"
SGYP,synergy pharmaceuticals,"Synergy Pharmaceuticals, Inc.","Synergy Pharmaceuticals, Inc. - Common Stock"
SGYPU,synergy pharmaceuticals,"Synergy Pharmaceuticals, Inc.","Synergy Pharmaceuticals, Inc. - Unit"
SGYPW,synergy pharmaceuticals,"Synergy Pharmaceuticals, Inc.","Synergy Pharmaceuticals, Inc. - Warrants"
SHBI,shore bancshares,Shore Bancshares Inc,Shore Bancshares Inc - Common Stock
SHEN,shenandoah telecommunications,Shenandoah Telecommunications Co,Shenandoah Telecommunications Co - Common Stock
SHIP,seanergy maritime holdings,Seanergy Maritime Holdings Corp,Seanergy Maritime Holdings Corp - Common Stock
SHLD,sears holdings,Sears Holdings Corporation,Sears Holdings Corporation - Common Stock
SHLDW,sears holdings,Sears Holdings Corporation,Sears Holdings Corporation - Warrant
SHLM,a. schulman,"A. Schulman, Inc.","A. Schulman, Inc. - Common Stock"
SHLO,shiloh industries,"Shiloh Industries, Inc.","Shiloh Industries, Inc. - Common Stock"
SHOO,steven madden,"Steven Madden, Ltd.","Steven Madden, Ltd. - Common Stock"
SHOR,shoretel,"ShoreTel, Inc.","ShoreTel, Inc. - Common Stock"
SHOS,sears hometown and outlet stores,"Sears Hometown and Outlet Stores, Inc.","Sears Hometown and Outlet Stores, Inc. - Common Stock"
SHPG,shire,Shire plc,"Shire plc - American Depositary Shares, each representing three Ordinary Shares"
SIAL,sigma,Sigma,Sigma-Aldrich Corporation - Common Stock
SIBC,state investors bancorp,"State Investors Bancorp, Inc.","State Investors Bancorp, Inc. - Common Stock"
SIEB,siebert financial,Siebert Financial Corp.,Siebert Financial Corp. - Common Stock
SIEN,sientra,"Sientra, Inc.","Sientra, Inc. - Common Stock"
SIFI,si financial group,"SI Financial Group, Inc.","SI Financial Group, Inc. - Common Stock"
SIFY,sify technologies,Sify Technologies Limited,"Sify Technologies Limited - American Depository Shares, each represented by one Equity Share"
SIGA,siga technologies,SIGA Technologies Inc.,SIGA Technologies Inc. - Common Stock
SIGI,selective insurance group,"Selective Insurance Group, Inc.","Selective Insurance Group, Inc. - Common Stock"
SIGM,sigma designs,"Sigma Designs, Inc.","Sigma Designs, Inc. - Common Stock"
SILC,silicom,Silicom Ltd,Silicom Ltd - Ordinary Shares
SIMG,silicon image,"Silicon Image, Inc.","Silicon Image, Inc. - Common Stock"
SIMO,silicon motion technology,Silicon Motion Technology Corporation,"Silicon Motion Technology Corporation - American Depositary Shares, each representing four ordinary shares"
SINA,sina,Sina Corporation,Sina Corporation - Ordinary Shares
SINO,sino,Sino,"Sino-Global Shipping America, Ltd. - Common Stock"
SIRI,sirius xm holdings,Sirius XM Holdings Inc.,Sirius XM Holdings Inc. - Common Stock
SIRO,sirona dental systems,"Sirona Dental Systems, Inc.","Sirona Dental Systems, Inc. - Common Stock"
SIVB,svb financial group,SVB Financial Group,SVB Financial Group - Common Stock
SIVBO,svb financial group,SVB Financial Group,SVB Financial Group - 7% Cumulative Trust Preferred Securities - SVB Capital II
SIXD,6d global technologies,"6D Global Technologies, Inc.","6D Global Technologies, Inc. - Common Stock"
SKBI,skystar bio,Skystar Bio,Skystar Bio-Pharmaceutical Company - Common Stock
SKIS,peak resorts,"Peak Resorts, Inc.","Peak Resorts, Inc. - Common Stock"
SKOR,flexshares credit,FlexShares Credit,FlexShares Credit-Scored US Corporate Bond Index Fund
SKUL,skullcandy,"Skullcandy, Inc.","Skullcandy, Inc. - Common Stock"
SKYS,sky solar holdings,"Sky Solar Holdings, Ltd.","Sky Solar Holdings, Ltd. - American Depositary Shares"
SKYW,skywest,"SkyWest, Inc.","SkyWest, Inc. - Common Stock"
SKYY,first trust ise cloud computing index fund,First Trust ISE Cloud Computing Index Fund,First Trust ISE Cloud Computing Index Fund
SLAB,silicon laboratories,"Silicon Laboratories, Inc.","Silicon Laboratories, Inc. - Common Stock"
SLCT,select bancorp,"Select Bancorp, Inc.","Select Bancorp, Inc. - Common Stock"
SLGN,silgan holdings,Silgan Holdings Inc.,Silgan Holdings Inc. - Common Stock
SLM,slm,SLM Corporation,SLM Corporation - Common Stock
SLMAP,slm,SLM Corporation,"SLM Corporation - 6.97% Cumulative Redeemable Preferred Stock, Series A"
SLMBP,slm,SLM Corporation,"SLM Corporation - Floating Rate Non-Cumulative Preferred Stock, Series B"
SLP,simulations plus,"Simulations Plus, Inc.","Simulations Plus, Inc. - Common Stock"
SLRC,solar capital,Solar Capital Ltd.,Solar Capital Ltd. - Common Stock
SLTC,selectica,"Selectica, Inc.","Selectica, Inc. - Common Stock"
SLVO,credit suisse,Credit Suisse AG,Credit Suisse AG - Credit Suisse Silver Shares Covered Call Exchange Traded Notes
SLXP,salix pharmaceuticals,"Salix Pharmaceuticals, Ltd.","Salix Pharmaceuticals, Ltd. - Common Stock"
SMAC,sino mercury acquisition,Sino Mercury Acquisition Corp.,Sino Mercury Acquisition Corp. - Common Stock
SMACR,sino mercury acquisition,Sino Mercury Acquisition Corp.,Sino Mercury Acquisition Corp. - Right
SMACU,sino mercury acquisition,Sino Mercury Acquisition Corp.,Sino Mercury Acquisition Corp. - Unit
SMBC,southern missouri bancorp,"Southern Missouri Bancorp, Inc.","Southern Missouri Bancorp, Inc. - Common Stock"
SMCI,super micro computer,"Super Micro Computer, Inc.","Super Micro Computer, Inc. - Common Stock"
SMED,sharps compliance,Sharps Compliance Corp,Sharps Compliance Corp - Common Stock
SMIT,schmitt industries,"Schmitt Industries, Inc.","Schmitt Industries, Inc. - Common Stock"
SMLR,semler scientific,"Semler Scientific, Inc.","Semler Scientific, Inc. - Common Stock"
SMMF,summit financial group,"Summit Financial Group, Inc.","Summit Financial Group, Inc. - Common Stock"
SMPL,simplicity bancorp,Simplicity Bancorp Inc.,Simplicity Bancorp Inc. - Common Stock
SMRT,stein mart,"Stein Mart, Inc.","Stein Mart, Inc. - Common Stock"
SMSI,smith micro software,"Smith Micro Software, Inc.","Smith Micro Software, Inc. - Common Stock"
SMT,smart technologies,SMART Technologies Inc.,SMART Technologies Inc. - Common Shares
SMTC,semtech,Semtech Corporation,Semtech Corporation - Common Stock
SMTP,smtp,"SMTP, Inc.","SMTP, Inc. - Common Stock"
SMTX,smtc,SMTC Corporation,SMTC Corporation - Common Stock
SNAK,inventure foods,"Inventure Foods, Inc.","Inventure Foods, Inc. - Common Stock"
SNBC,sun bancorp,"Sun Bancorp, Inc.","Sun Bancorp, Inc. - Common Stock"
SNC,state national companies,"State National Companies, Inc.","State National Companies, Inc. - Common Stock"
SNCR,synchronoss technologies,"Synchronoss Technologies, Inc.","Synchronoss Technologies, Inc. - Common Stock"
SNDK,sandisk,SanDisk Corporation,SanDisk Corporation - Common Stock
SNFCA,security national financial,Security National Financial Corporation,Security National Financial Corporation - Class A Common Stock
SNHY,sun hydraulics,Sun Hydraulics Corporation,Sun Hydraulics Corporation - Common Stock
SNMX,senomyx,"Senomyx, Inc.","Senomyx, Inc. - Common Stock"
SNPS,synopsys,"Synopsys, Inc.","Synopsys, Inc. - Common Stock"
SNSS,sunesis pharmaceuticals,"Sunesis Pharmaceuticals, Inc.","Sunesis Pharmaceuticals, Inc. - Common Stock"
SNTA,synta pharmaceuticals,Synta Pharmaceuticals Corp.,Synta Pharmaceuticals Corp. - Common Stock
SOCB,southcoast financial,Southcoast Financial Corporation,Southcoast Financial Corporation - Common Stock
SOCL,global x social media index etf,Global X Social Media Index ETF,Global X Social Media Index ETF
SODA,sodastream international,SodaStream International Ltd.,SodaStream International Ltd. - Ordinary Shares
SOFO,sonic foundry,"Sonic Foundry, Inc.","Sonic Foundry, Inc. - Common Stock"
SOHO,sotherly hotels,Sotherly Hotels Inc.,Sotherly Hotels Inc. - Common Stock
SOHOL,sotherly hotels,Sotherly Hotels LP,Sotherly Hotels LP - 8.00% Senior Unsecured Notes Due 2018
SOHOM,sotherly hotels,Sotherly Hotels LP,Sotherly Hotels LP - 7.00% Senior Notes
SOHU,sohu.com,Sohu.com Inc.,Sohu.com Inc. - Common Stock
SONA,southern national bancorp of virginia,"Southern National Bancorp of Virginia, Inc.","Southern National Bancorp of Virginia, Inc. - Common Stock"
SONC,sonic,Sonic Corp.,Sonic Corp. - Common Stock
SONS,sonus networks,"Sonus Networks, Inc.","Sonus Networks, Inc. - Common Stock"
SORL,sorl auto parts,"SORL Auto Parts, Inc.","SORL Auto Parts, Inc. - Common Stock"
SOXX,ishares phlx sox semiconductor sector index fund,iShares PHLX SOX Semiconductor Sector Index Fund,iShares PHLX SOX Semiconductor Sector Index Fund
SP,sp plus,SP Plus Corporation,SP Plus Corporation - Common Stock
SPAN,span,Span,"Span-America Medical Systems, Inc. - Common Stock"
SPAR,spartan motors,"Spartan Motors, Inc.","Spartan Motors, Inc. - Common Stock"
SPCB,supercom,"SuperCom, Ltd.","SuperCom, Ltd. - Ordinary Shares"
SPDC,speed commerce,"Speed Commerce, Inc.","Speed Commerce, Inc. - Common Stock"
SPEX,spherix,Spherix Incorporated,Spherix Incorporated - Common Stock
SPHS,sophiris bio,"Sophiris Bio, Inc.","Sophiris Bio, Inc. - Common Shares"
SPIL,siliconware precision industries company,"Siliconware Precision Industries Company, Ltd.","Siliconware Precision Industries Company, Ltd. - ADS represents common shares"
SPKE,spark energy,"Spark Energy, Inc.","Spark Energy, Inc. - Class A Common Stock"
SPLK,splunk,Splunk Inc.,Splunk Inc. - Common Stock
SPLS,staples,"Staples, Inc.","Staples, Inc. - Common Stock"
SPNC,the spectranetics,The Spectranetics Corporation,The Spectranetics Corporation - Common Stock
SPNS,sapiens international corporation,Sapiens International Corporation N.V.,Sapiens International Corporation N.V. - Common Shares
SPOK,spok holdings,"Spok Holdings, Inc.","Spok Holdings, Inc. - Common Stock"
SPPI,spectrum pharmaceuticals,"Spectrum Pharmaceuticals, Inc.","Spectrum Pharmaceuticals, Inc. - Common Stock"
SPPR,supertel hospitality,"Supertel Hospitality, Inc.","Supertel Hospitality, Inc. - Common Stock"
SPPRO,supertel hospitality,"Supertel Hospitality, Inc.","Supertel Hospitality, Inc. - Series B Cumulative Preferred Stock"
SPPRP,supertel hospitality,"Supertel Hospitality, Inc.","Supertel Hospitality, Inc. - Series A Convertible Preferred Stock"
SPRO,smartpros,SmartPros Ltd.,SmartPros Ltd. - Common Stock
SPRT,support.com,"support.com, Inc.","support.com, Inc. - Common Stock"
SPSC,sps commerce,"SPS Commerce, Inc.","SPS Commerce, Inc. - Common Stock"
SPTN,spartannash,SpartanNash Company,SpartanNash Company - Common Stock
SPU,skypeople fruit juice,"SkyPeople Fruit Juice, Inc.","SkyPeople Fruit Juice, Inc. - Common Stock"
SPWH,sportsman's warehouse holdings,"Sportsman's Warehouse Holdings, Inc.","Sportsman's Warehouse Holdings, Inc. - Common Stock"
SPWR,sunpower,SunPower Corporation,SunPower Corporation - Common Stock
SQBG,sequential brands group,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc. - Common Stock"
SQBK,square 1 financial,"Square 1 Financial, Inc.","Square 1 Financial, Inc. - Class A Common Stock"
SQI,sciquest,"SciQuest, Inc.","SciQuest, Inc. - Common Stock"
SQNM,sequenom,"Sequenom, Inc.","Sequenom, Inc. - Common Stock"
SQQQ,proshares ultrapro short qqq,ProShares UltraPro Short QQQ,ProShares UltraPro Short QQQ
SRCE,1st source,1st Source Corporation,1st Source Corporation - Common Stock
SRCL,stericycle,"Stericycle, Inc.","Stericycle, Inc. - Common Stock"
SRDX,surmodics,"SurModics, Inc.","SurModics, Inc. - Common Stock"
SREV,servicesource international,"ServiceSource International, Inc.","ServiceSource International, Inc. - Common Stock"
SRNE,sorrento therapeutics,"Sorrento Therapeutics, Inc.","Sorrento Therapeutics, Inc. - Common Stock"
SRPT,sarepta therapeutics,"Sarepta Therapeutics, Inc.","Sarepta Therapeutics, Inc. - Common Stock"
SRSC,sears canada,Sears Canada Inc.,Sears Canada Inc.  - Common Shares
SSB,south state,South State Corporation,South State Corporation - Common Stock
SSBI,summit state bank,Summit State Bank,Summit State Bank - Common Stock
SSFN,stewardship financial,Stewardship Financial Corp,Stewardship Financial Corp - Common Stock
SSH,sunshine heart,Sunshine Heart Inc,Sunshine Heart Inc - Common Stock
SSNC,ss&c technologies holdings,"SS&C Technologies Holdings, Inc.","SS&C Technologies Holdings, Inc. - Common Stock"
SSRG,symmetry surgical,Symmetry Surgical Inc.,Symmetry Surgical Inc. - Common Stock
SSRI,silver standard resources,Silver Standard Resources Inc.,Silver Standard Resources Inc. - Common Stock
SSYS,stratasys,"Stratasys, Ltd.","Stratasys, Ltd. - Common Stock"
STAA,staar surgical,STAAR Surgical Company,STAAR Surgical Company - Common Stock
STB,student transportation,Student Transportation Inc,Student Transportation Inc - Common shares
STBA,s&t bancorp,"S&T Bancorp, Inc.","S&T Bancorp, Inc. - Common Stock"
STBZ,state bank financial,State Bank Financial Corporation.,State Bank Financial Corporation. - Common Stock
STCK,stock building supply holdings,"Stock Building Supply Holdings, Inc.","Stock Building Supply Holdings, Inc. - Common Stock"
STEM,stemcells,"StemCells, Inc.","StemCells, Inc. - Common Stock"
STFC,state auto financial,State Auto Financial Corporation,State Auto Financial Corporation - Common Stock
STKL,sunopta,"SunOpta, Inc.","SunOpta, Inc. - Common Stock"
STLD,steel dynamics,"Steel Dynamics, Inc.","Steel Dynamics, Inc. - Common Stock"
STLY,stanley furniture company,"Stanley Furniture Company, Inc.","Stanley Furniture Company, Inc. - Common Stock"
STML,stemline therapeutics,"Stemline Therapeutics, Inc.","Stemline Therapeutics, Inc. - Common Stock"
STMP,stamps.com,Stamps.com Inc.,Stamps.com Inc. - Common Stock
STNR,steiner leisure,Steiner Leisure Limited,Steiner Leisure Limited - Common Shares
STPP,barclays,Barclays PLC,Barclays PLC - iPath US Treasury Steepener ETN
STRA,strayer education,"Strayer Education, Inc.","Strayer Education, Inc. - Common Stock"
STRL,sterling construction company,Sterling Construction Company Inc,Sterling Construction Company Inc - Common Stock
STRM,streamline health solutions,"Streamline Health Solutions, Inc.","Streamline Health Solutions, Inc. - Common Stock"
STRN,sutron,Sutron Corporation,Sutron Corporation - Common Stock
STRS,stratus properties,"Stratus Properties, Inc.","Stratus Properties, Inc. - Common Stock"
STRT,strattec security,Strattec Security Corporation,Strattec Security Corporation - Common Stock
STRZA,starz,Starz,Starz - Series A Common Stock
STRZB,starz,Starz,Starz - Series B Common Stock
STX,seagate technology.,Seagate Technology.,Seagate Technology. - Common Stock
STXS,stereotaxis,"Stereotaxis, Inc.","Stereotaxis, Inc. - Common Stock"
SUBK,suffolk bancorp,Suffolk Bancorp,Suffolk Bancorp - Common Stock
SUMR,summer infant,"Summer Infant, Inc.","Summer Infant, Inc. - Common Stock"
SUNS,solar senior capital,Solar Senior Capital Ltd.,Solar Senior Capital Ltd. - Common Stock
SUPN,supernus pharmaceuticals,"Supernus Pharmaceuticals, Inc.","Supernus Pharmaceuticals, Inc. - Common Stock"
SURG,synergetics usa,"Synergetics USA, Inc.","Synergetics USA, Inc. - Common Stock"
SUSQ,susquehanna bancshares,"Susquehanna Bancshares, Inc.","Susquehanna Bancshares, Inc. - Common Stock"
SUTR,sutor technology group,Sutor Technology Group Limited,Sutor Technology Group Limited - Common Stock
SVA,sinovac biotech,"Sinovac Biotech, Ltd.","Sinovac Biotech, Ltd. - Ordinary Shares (Antigua/Barbudo)"
SVBI,severn bancorp,Severn Bancorp Inc,Severn Bancorp Inc - Common Stock
SVVC,firsthand technology value fund,"Firsthand Technology Value Fund, Inc.","Firsthand Technology Value Fund, Inc. - Common Stock"
SWHC,smith & wesson holding,Smith & Wesson Holding Corporation,Smith & Wesson Holding Corporation - Common Stock
SWIR,sierra wireless,"Sierra Wireless, Inc.","Sierra Wireless, Inc. - Common Stock"
SWKS,skyworks solutions,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc. - Common Stock"
SWSH,swisher hygiene,"Swisher Hygiene, Inc.","Swisher Hygiene, Inc. - Common Stock"
SYBT,stock yards bancorp,"Stock Yards Bancorp, Inc.","Stock Yards Bancorp, Inc. - Common Stock"
SYKE,sykes enterprises,"Sykes Enterprises, Incorporated","Sykes Enterprises, Incorporated - Common Stock"
SYMC,symantec,Symantec Corporation,Symantec Corporation - Common Stock
SYMX,synthesis energy systems,"Synthesis Energy Systems, Inc.","Synthesis Energy Systems, Inc. - Common Stock"
SYNA,synaptics,Synaptics Incorporated,Synaptics Incorporated - Common Stock
SYNC,synacor,"Synacor, Inc.","Synacor, Inc. - Common Stock"
SYNL,synalloy,Synalloy Corporation,Synalloy Corporation - Common Stock
SYNT,syntel,"Syntel, Inc.","Syntel, Inc. - Common Stock"
SYPR,sypris solutions,"Sypris Solutions, Inc.","Sypris Solutions, Inc. - Common Stock"
SYRX,sysorex global holding,Sysorex Global Holding Corp.,Sysorex Global Holding Corp. - Common Stock
SYUT,synutra international,"Synutra International, Inc.","Synutra International, Inc. - Common Stock"
SZMK,sizmek,Sizmek Inc.,Sizmek Inc. - Common Stock
SZYM,solazyme,"Solazyme, Inc.","Solazyme, Inc. - Common Stock"
TACT,transact technologies,TransAct Technologies Incorporated,TransAct Technologies Incorporated - Common Stock
TAIT,taitron components,Taitron Components Incorporated,Taitron Components Incorporated - Class A Common Stock
TAPR,barclays,Barclays PLC,Barclays PLC - Barclays Inverse US Treasury Composite ETN
TASR,taser international,"TASER International, Inc.","TASER International, Inc. - Common Stock"
TAST,carrols restaurant group,"Carrols Restaurant Group, Inc.","Carrols Restaurant Group, Inc. - Common Stock"
TATT,tat technologies,TAT Technologies Ltd.,TAT Technologies Ltd. - Ordinary Shares
TAX,liberty tax,"Liberty Tax, Inc.","Liberty Tax, Inc. - Class A Common Stock"
TAXI,medallion financial,Medallion Financial Corp.,Medallion Financial Corp. - Common Stock
TAYD,taylor devices,"Taylor Devices, Inc.","Taylor Devices, Inc. - Common Stock"
TBBK,the bancorp,"The Bancorp, Inc.","The Bancorp, Inc. - Common Stock"
TBIO,transgenomic,"Transgenomic, Inc.","Transgenomic, Inc. - Common Stock"
TBK,triumph bancorp,"Triumph Bancorp, Inc.","Triumph Bancorp, Inc. - Common Stock"
TBNK,territorial bancorp,Territorial Bancorp Inc.,Territorial Bancorp Inc. - Common Stock
TBPH,theravance biopharma,"Theravance Biopharma, Inc.","Theravance Biopharma, Inc. - Ordinary Shares"
TCBI,texas capital bancshares,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc. - Common Stock"
TCBIL,texas capital bancshares,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc. - 6.50% Subordinated Notes due 2042"
TCBIP,texas capital bancshares,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc. - Non Cumulative Preferred Perpetual Stock Series A"
TCBIW,texas capital bancshares,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc. - Warrants 01/16/2019"
TCBK,trico bancshares,TriCo Bancshares,TriCo Bancshares - Common Stock
TCCO,technical communications,Technical Communications Corporation,Technical Communications Corporation - Common Stock
TCFC,the community financial,The Community Financial Corporation,The Community Financial Corporation - Common Stock
TCPC,tcp capital,TCP Capital Corp.,TCP Capital Corp. - Common Stock
TCRD,thl credit,"THL Credit, Inc.","THL Credit, Inc. - Common Stock"
TCX,tucows,Tucows Inc.,Tucows Inc. - Common Stock
TDIV,first trust exchange,First Trust Exchange,First Trust Exchange-Traded Fund VI First Trust NASDAQ Technology Dividend Index Fund
TEAR,tearlab,TearLab Corporation,TearLab Corporation - Common Stock
TECD,tech data,Tech Data Corporation,Tech Data Corporation - Common Stock
TECH,bio,Bio,Bio-Techne Corp - Common Stock
TECU,tecumseh products,Tecumseh Products Company,Tecumseh Products Company - Common Stock
TEDU,tarena international,"Tarena International, Inc.","Tarena International, Inc. - American Depositary Shares"
TENX,tenax therapeutics,"Tenax Therapeutics, Inc.","Tenax Therapeutics, Inc. - Common Stock"
TERP,terraform power,"TerraForm Power, Inc.","TerraForm Power, Inc. - Class A Common Stock"
TESO,tesco,Tesco Corporation,Tesco Corporation - Common Stock
TESS,tessco technologies,TESSCO Technologies Incorporated,TESSCO Technologies Incorporated - Common Stock
TFM,the fresh market,"The Fresh Market, Inc.","The Fresh Market, Inc. - Common Stock"
TFSC,1347 capital,1347 Capital Corp.,1347 Capital Corp. - Common Stock
TFSCR,1347 capital,1347 Capital Corp.,1347 Capital Corp. - Right
TFSCU,1347 capital,1347 Capital Corp.,1347 Capital Corp. - Unit
TFSCW,1347 capital,1347 Capital Corp.,1347 Capital Corp. - Warrant
TFSL,tfs financial,TFS Financial Corporation,TFS Financial Corporation - Common Stock
TGA,transglobe energy,Transglobe Energy Corp,Transglobe Energy Corp - Ordinary Shares
TGE,tgc industries,"TGC Industries, Inc.","TGC Industries, Inc. - Common Stock"
TGEN,tecogen,Tecogen Inc.,Tecogen Inc. - Common Stock
TGLS,tecnoglass,Tecnoglass Inc.,Tecnoglass Inc. - Ordinary Shares
TGTX,tg therapeutics,"TG Therapeutics, Inc.","TG Therapeutics, Inc. - Common Stock"
THFF,first financial corporation indiana,First Financial Corporation Indiana,First Financial Corporation Indiana - Common Stock
THLD,threshold pharmaceuticals,"Threshold Pharmaceuticals, Inc.","Threshold Pharmaceuticals, Inc. - Common Stock"
THOR,thoratec,Thoratec Corporation,Thoratec Corporation - Common Stock
THRM,gentherm,Gentherm Inc,Gentherm Inc - Common Stock
THRX,theravance,"Theravance, Inc.","Theravance, Inc. - Common Stock"
THST,truett,Truett,"Truett-Hurst, Inc. - Class A Common Stock"
